OperandA, OperandB, Result, Exception
          0,          0,-2147483648,0
          0,          0,          0,1
          0,          0,          2,0
          0,          0,         14,0
          0,          0,         -1,0
          0,          0,          0,0
          0,          0,          0,0
          0,          0,          0,0
          0,          0,          0,0
          0,          0,          2,0
          0,          0,         -2,0
          0,          0,          2,0
          0,          0,         -2,0
          0,          0,          2,0
          0,          0,         -2,0
          0,          0,          2,0
          0,          0,         -2,0
          0,          0,          2,0
          0,          0,         -2,0
          0,          0,          2,0
          0,          0,         -2,0
          0,          0,          2,0
          0,          0,         -2,0
          0,          0,          2,0
          0,          0,-1073741824,0
          0,          0,          0,1
